date,country,reviews,ratings,comments
21st March 2023,Austria,"""Every flight was delayed""",1,"✅ Trip Verified |  We have flown repeatedly with British Airways and the One World alliance over the last few weeks. Every flight was delayed. Now we are back at the airport in Miami and have another massive delay so we will miss our connecting flight. Finally, our luggage arrived in Puerto Rico with a 3-day delay and we had to reschedule our round trip ... we haven't received any information about our luggage to this day, luckily we checked it ourselves at the airport and it was there. The last delayed flight meant the cabin crew that they too miss their connecting flights and we are on the same plane and they can't do anything.  Wir sind in den letzten Wochen immer wieder mit Britisch Airways und dem One World Zusammenschluss geflogen. Jeder Flug war verspätet. Nun sitzen wir wieder in Miami am Flughafen und haben schon wieder eine massive Verspätung sodass wir unseren Anschlussflug verpassen werden. Zuletzt ist auch unser Gepäck mit 3 Tagen Verspätung in Puerto Rico angekommen und wir mussten unseren Rundreise umplanen… wir haben bis heute noch keine Info über unser Gepäck erhalten, zum Glück haben wir selbst am Flughafen nachgesehen und es war da… Beim letzten verpspäteten Flug meinte die Kabinen Crew dass auch sie ihre Anschlussflüge verpassen und wir im selben Flugzeug sitzen und sie können nichts machen. "
20th March 2023,United States,"""how far the quality level has slid""",3,"✅ Trip Verified |  I was horrified by the extremely small seats and the poor training that the crew clearly receives. Not one of them exuded any kind of warmth or expressed any desire to make our journey pleasant. The seats were so narrow that regardless of the size of your neighbors you are forced to touch each other constantly, if the seat in front of you is reclined you have no choice but to recline your own, or else you are breathing in the head/ scalp of the person in front of you. Food was revolting, they don't even provide napkins unless you ask with the pre-meal drinks and the secondary meal. The last time I flew BA it was a completely other experience and I was so sorry to see how far the quality level has slid. It was really majorly disappointing and I regret that I have already purchased 2 other intercontinental trips with the company. I will now have to see if I can change them. The pathetic 250 ml bottle of water, it's just a sip. On the shorter flights the seats couldn't even be reclined which was a great pity since the flight was delayed by almost 3 hours and we had to wait on board."
20th March 2023,France,"""worst cabin experience ever""",2,"✅ Trip Verified |  
The worst cabin experience ever: cramped seats, very low cost style and uncomfortable. Could suit for short flights but not for a 5 hours service. Catering is also a shame: 250ml of water + a chocolate bar for a 5 hours service. Will never fly BA again. "
18th March 2023,India,"""Very impressive and efficient""",8,"✅ Trip Verified | First time flying with British Airways and first time flying to the Americas from India via London Heathrow. I chose Premium Economy at a reasonable price. I was quite comfortable, however, the first leg of the flight from Mumbai to Heathrow, the plane was a bit outdated and there was only a foot rest. The second leg, from Heathrow to Nassau, the plane was brand new and my premium economy seat had a pop up leg support which was much more comfortable. Cabin service was fine - I appreciated that they didn't come through the cabin often while everyone was sleeping. The meals weren't that great to be honest. After landing in Heathrow, we had to wait on the tarmac for 45 minutes waiting for an open gate. My connection was less than an hour long! The BA staff in the Heathrow Airport helped me move through security quickly and I made it with time to spare for my next flight. When I arrived in Nassau, I found that my luggage didn't make it due to the short connection time in London. The BA baggage representative in Nassau was extremely professional and took down my claim. My luggage arrived on the next BA flight a few days later, and British Airways Nassau representative delivered it over to a charter airline which shipped it to the island I was staying on. Very impressive and efficient!"
18th March 2023,United States,"""We are done with BA""",3,✅ Trip Verified |  The latest affront. Stood in first class line for an hour. Finally go up front and the BA agent let 4 supposed VIPS with 12-14 large to-be-checked bags in front of all of us. Arrogant and unapologetic. Add this to a long list of post-Covid disappointments. We are done with BA.
17th March 2023,United States,"""I was left stranded at the airport""",1,"Not Verified |  Booked a flight return flight between London and Munich for 3/11 to 3/17 in December. The return flight was cancelled and re-booked from 3/17 to 3/12. British Airways only notified me of the first change, but not the second. Getting the flight reinstated took multiple phone calls on both occasions. Each time needing to find a helpful representative. British Airway employees told me that even though they cancelled my flight they did not have to refund the ticket. They tried to charge an $800 change fee. Through repeatedly calling back, British Airways reinstated my 3/17 flight on 2/20 and then again on 3/6. To make sure it did not get changed again, i checked the status of my ticket daily from 3/12 to 3/15. It was intact those days. On 3/16 when it was time to check-in for the flight, it was gone. At the airport the staff at the British Airways check-in counter are not BA employees, so cannot help resolve problems. There are no BA representative at the Munich Airport. The confirmation documentation from British Airways was of no value. I was left stranded at the airport."
17th March 2023,Netherlands,"""I will never fly with them again""",1,"✅ Trip Verified |  I tried to check in on line and was informed that this was not possible. I was given no reason for this. I telephoned BA customer service and must have wasted nearly 2 hours being given wrong phone numbers and incorrect information. Staff need customer training, better knowledge of their product, and some manners. BA customer service was virtually non existent. I will never fly with them again."
16th March 2023,United Kingdom,"""A catalogue of failures""",1,"✅ Trip Verified |  A catalogue of failures. We flew from Belfast to Heathrow a week ago and the flight was delayed by over three and a half hours. We missed our onward Air Canada flight to Calgary as a result. On arriving in Calgary (after re-routing via Vancouver which added over 6 hours to our journey) we met other passengers who had also missed the same Air Canada flight as their British Airways flight from Manchester had also been delayed by several hours. We are now on our way home only to find our Heathrow to Belfast flight, which had already been cancelled and put back 2 hours, is now delayed by another 2 hours. Avoid British Airways like the plague."
9th July 2023,United Kingdom,"""Things have really deteriorated""",4,"✅ Trip Verified |  My family and I have flown mostly on British Airways for the last 30 years. I am a priority passenger and fly often enough to recognise cabin crew and know some by name. They used to be a really good airline to fly with. Things have really deteriorated with their face to face customer care since the pandemic. The aircraft look worn. For example, on my flight back my audiovisual equipment did not work and had to be reset twice, finally working in the last hour before we landed. The second time around, I think the reset was done for the whole aircraft. The touch screen function on my screen did not work. The USB charger ports on my seat did not work. The staff were pleasant enough, but their service oozed mediocrity.  There did not seem to be much pride in what they were doing. The food has been the worst part on our BA flights since the pandemic. They gave us a menu, asked what we’d like, did a check and then told us that it was not available as they had run out and would we like to choose something else. They then told us that we’d get first choice at the second service which they couldn’t deliver on. Finally after choosing and getting whatever it is that we did, the food was tasteless. We take part in post flight surveys regularly and have stated all of this, to no avail. As a family of 3, we fly British Airways medium to long haul regularly, possibly 4-6 times a year each. For us, the good things about flying BA are that we are priority customers, usually have a direct flight to our destinations and get good service on the ground, when checking in and in the lounges when we use them."
9th July 2023,United States,"""I will never fly this airline again""",2,"✅ Trip Verified |  This has been by far the worst service I have had on a plane. It's very obvious that if you are flying economy and not a frequent traveler of British Airways, they care very little about you. We had to wait an hour for them to even open the check-in. Once they did, they had 5 lines and only one that serviced economy. Even though the line for economy was three times the length of the premium classes. Then they told economy passengers that all bags had to be check and no carryon due to a full flight and no room in the overhead compartments. Once we arrived at the gate, there were not enough seats to fit everyone and you couldn't leave the boarding area. I will never fly this airline again! "
8th July 2023,United Kingdom,"""asked for an explanation but have received none""",2,"✅ Trip Verified |  In Nov 2022 I booked and paid for a return journey to New Zealand. On my return journey my final flight was from London to Edinburgh. On trying to check in I was told my ticket ‘did not exist’. I showed evidence of my flight being booked and paid for but was denied a ticket. My only option was to buy a ticket for a later flight which cost £265.07. Since Nov 22, ie, 8 months ago, I have communicated multiple times with BA in an attempt to have my money returned. They have admitted responsibility for their error which cost me £265. I finally received word from them that they have decided to refund me the sum of £32.14. I have asked for an explanation but have received none, only a polite e mail informing me that the decision was checked and was correct. I do not intend to let this matter go. A company worth billions of pounds will not return an honest refund. PS, they also lost my luggage and did nothing to help me retrieve it. I tracked it down myself a week later to Edinburgh airport and picked it up myself."
6th July 2023,United Kingdom,"""short-changing passengers""",4,Not Verified | BA is not treating its premium economy passengers with respect. You pay for a premium economy service and are then compelled to use the economy toilets at the back of the plane. This is short-changing passengers. 
5th July 2023,South Africa,"""Economy is absolutely awful""",1,"✅ Trip Verified |  24 hours before our departure on BA059 to Cape Town from Heathrow on Thursday 29th June, we did an online check-in. Seats had already been allocated for my wife and I - 41 E and F - which are the middle two seats of the central block of four. These were totally unsuitable for us as we are in our late 70's and getting in and out of seats to stretch our legs or go the the toilet would mean climbing over a person on the aisle. But there were no other seats available. We got to Heathrow about 6 hours before departure and tried to change seats at check-in, to no avail, although the lady was very sympathetic and tried her utmost. She did offer us an upgrade to Premium Economy but at 450GBP each it was beyond our affordability. She said we should try again at the departure gate but that also failed. We spoke to a member of the flight crew who was totally unsympathetic. The economy seats are so tiny that I was jammed shoulder to shoulder between by wife and a stranger, with knees touching the seat pocket in front. For 12 hours we suffered. When we did manage to get out of our seat due to the kindness of the young lady next to me on the aisle, it was a mission trying to clamber past the reclined backrest in front of me. BA Economy is absolutely awful. The evening meal was near-inedible - both choices were spicy foods which are not very suitable when flying, especially for an older person. The breakfast Spanish Omelette was, however, not bad at all. The previous day we had flown economy from Malta to Heathrow on Malta Airlines and that 3 hour trip was a pleasure. The seats are wide and there is ample legroom. If they can do it, then why not British Airways."
5th July 2023,United Kingdom,"""Shocking customer service""",1,"✅ Trip Verified |  We arrived at Heathrow at 0600 to find our flight to Ibiza was cancelled by BA with no explanation. As if that wasn’t galling enough, the customer service from BA at the airport was non-existent! There was no explanation, no apology and no assistance in finding an alternative flight. We’ve managed to find another flight from Stansted but that isn’t until much later today, thus wasting a chunk of our short trip. I simply don’t understand why BA don’t proactively contact their customers to notify them of a cancellation, and work with them to resolve the problem. Shocking customer service!"
4th July 2023,Greece,"""no representative to help""",3,✅ Trip Verified |  Original flight was cancelled with no explanation. There was no representative to help in rebooking We had to call customer service (long distance call) The line kept dropping Had to do 40 + calls to find new booking only to discover the only way I could fly the next day was by paying business class. No help with hotel for the night stay.
3rd July 2023,Italy,"""Boarding was chaotic""",3,"Not Verified |  Airport check in was functionary with little warmth but some efficiency. Flight was delayed with no communication given. Boarding was chaotic and no management of the process by ground staff. Seats on board are tight and you really feel like they have crammed in every seat possible. There is next to no recline. However I was thankful that there was no recline. If the person in front had even the slightest recline they would be in my face owing to how tight the seats were spaced on this A321 aircraft. No amenities on this flight except for a toilet that was clean but small. No IFE, no food and beverage unless you pay extra but the staff were friendly. Luggage arrived at the carousel within a very short amount of time."
2nd July 2023,Senegal,"""In-line with competitors""",10,✅ Trip Verified |  Flight fine. In-line with competitors. Pleasant crew. Only niggle is bussed to and from aircraft at Heathrow. It seems like this is standard for the Berlin flights. Would use again.
30th June 2023,United States,"""Luggage are still in Glasgow""",1,✅ Trip Verified |  Came from Glasgow to London and took connecting flight American Airlines from London to North Carolina. It's my third day here in North Carolina and still waiting for my luggage. They didn't even bother to transfer the luggage to connecting flight. Luggage are still in Glasgow. 
29th June 2023,United Arab Emirates,"""whole experience was terrible""",1,"✅ Trip Verified |  My flight on on 12 May 2023 got delayed an hour and 25 minutes which resulted in the cancellation of our connection flight on 12 May 2023 as the arrival of the first flight was only 15 before the departure of the second connecting flight. We contacted the BA call center multiple times to make changes to the flight in order to still arrive on the 12th of May to KEF airport through different flights. The team tried to find a solution but none made sense, not even on the next day the 13th of May 2023. We have made full booking of accommodation, car rental, activities etc for the vacation in Iceland. The cancellation of of these booking is not refundable. The call center suggested that we cancel the flight for a full refund, then claim compensation for the delay and difference in airfare cost and other non refundable bookings due to the delay and cancellation of our flight. British Airways responded to the claim after a month with no compensation at all, even though we paid additional $600 on new bookings and additional charges. The refund of the cancelled flight took more than a month with multiple calla to follow up almost every week. I was promised to get refund on the first call but later I found out it was not processed properly. Every-time I call the agent ask questions about why flight was canceled etc which is annoying when my understanding everything was under process for payment. After multiple calls I was refunded partially and not the full amount which is even bizarre from a company of this level. I had to make more calls to get the remaining balance refunded. The whole experience was terrible."
29th June 2023,United Kingdom,"""preferred to fly on easyJet""",2,"Not Verified |  Cairo is a 5 hour flight and BA considers it to be short haul, so everyone is crammed in with knees pressed up against the seat in front and nothing in the way of inflight entertainment. Not even a magazine - which is now available by WiFi that you have to pay for. You have to pay for your seat choice, checked in baggage, food & drink, WiFi. Not that I have anything against that - I'm used to that on budget airlines - but this is for a premium price ticket. I would have preferred to fly on easyJet where the initial ticket would have been less, and the extras would have been half the price. The BA app and website makes it really difficult to understand the extras and we ended up with baggage on the wrong ticket so had to pay extra. And don't get me started on their customer service helpline. On board the staff are ok but on the long Cairo-London route they spend most of their time on a break where they use the back row or two and talk loudly without any consideration for the passengers. And for the flyers who don't want the hassle of charges, minimal cabin service, and budget seats, then they could easily provide a 'premium economy' option  and really make a difference for the experience. Heathrow Terminal 5 compounds the poor experience, especially for arrivals. It is also poorly served by transport links - especially for those of us who live near Gatwick which is being abandoned by BA. I have been a frequent flyer for many years - and was even a BA Gold Card holder at one point - so I know about the potential experience. I used be able to make the choice - do I fly budget, or do I fly more comfortably for more? Now it's a case of flying budget, or flying budget for double the price with BA. "
27th June 2023,United Kingdom,"""stated it is not their fault""",1,"✅ Trip Verified |  After travelling London to Madrid with British Airways, then with Iberia from Madrid to Lima and LATAM to Cuzco, my luggage arrived 7 days after me. When attempting to collect my luggage, mine was the only one not to arrive. I sought help and was informed to make a claim online. When my bag finally arrived 7 days later, the lock had been forced open and everything inside the case searched. Someone emptied my 1st aid kit and toiletries and threw my clothing about, I felt violated. I have been treated appallingly from start to finish. For a month, I have been back and forth to British Airways, yet they stated it is not their fault. "
27th June 2023,United States,"""luggage was mis-tagged in Dallas""",1,"✅ Trip Verified |  My luggage was mis-tagged in Dallas on my way to Cairo via London. My Luggage arrived at LHR as planned on Saturday 6/24. However, upon arrival due to the luggage being mis-tagged and having the incorrect name on my luggage, it was never sent to Cairo. Its sitting in Terminal 3 in LHR (I have an air tag on my luggage) and British Airways is saying there is nothing they can do about it. I have filed 3 claims, made 13 phone calls, have been hung up on 3x and as simple as it is to solve this problem the workers at BA refuse to solve the problem. "
25th June 2023,United States,"""The airline lost my luggage""",1,"✅ Trip Verified |  The airline lost my luggage and was absolutely awful throughout the entire trip. They gave me no updates, their website sucks, and it was nearly impossible to get someone on the phone. They finally delivered my luggage to my hotel after i had left to go back to the US, 5 days after I told them to ship it back to the US. Now, I’ve been calling everyday begging them to get my bag back to me. They appease me on the phone, tell me they’re fixing it, but nothing changes. The hotel can’t get in touch with them and they haven’t even tried to pick to bag back up. Several times, when I called I got a message saying they were not answering due to too many complaints and calls and to “call back later”. "
25th June 2023,United States,"""fully refunded by our travel insurance""",1,"✅ Trip Verified |  We booked on the BA website, round trip flights from Seattle to Amman with a stop in London, in Business Class. Our first flight was delayed and then diverted to NYC, and enroute my husband experienced a medical emergency. When we landed in NYC we were taken to a hospital and I stayed in constant contact with the airline agent who had arranged for the ambulance transfer. The same evening we flew back home, confirming cancellation of all remaining flights with the agent at the airport. For the next several weeks, we spoke many times with BA Customer Service, trying to obtain some kind of refund — we were met with contradictory explanations, excuses and an absence of meaningful customer service. We discovered we had been marked as “no-shows” for our flight to Amman and that our return flight was still active. We were unable to cancel the return on the website, despite booking on the website. Our phone calls were never returned, we spent a minimum of 40-60 minutes on hold for every phone call we made, our emails received only canned replies without answers or explanations, we were told it was “not possible” to receive a copy of the ticketing rules and regulations nor to speak with a supervisor, and after several weeks of this abysmal customer service I filed a complaint with the FAA. In response to my complaint I received an email from BA Customer Service explaining that they had reviewed my many requests for a “full refund” but that could not be accommodated due to the ticketing rules. They would issue flight credits - except for the portion for which we no-showed. They did not state how many credits. We never once asked for a full refund - we asked to read the rules and to receive a partial refund. We will not use the credits - we were fully refunded by our travel insurance."
25th June 2023,United Kingdom,"""no boarding drinks provided""",2,"✅ Trip Verified |  First time flying with BA business class, never again. There are no boarding drinks provided. My meal quality was below business class standards as was the quality of the wine. On arrival at Bodrum my bags were among the last to appear. Not looking forward to the same chaos on the return flight. "
24th June 2023,United Kingdom,"""WiFi didn't work"" ",4,"Not Verified | You can buy sandwiches and crisps but don't expect a hot meal. Because the plane is a narrow body , there are no screens. Not helping matters is the fact that the BA prebooking shop for food didn't recognise the flight number, and the onboard  WiFi didn't work. "
24th June 2023,United Kingdom,"""stick with economy""",7,"✅ Trip Verified |  This is a two-for-one review covering economy and business class on the BA flight from London City to Ibiza. Economy was excellent. A very light lunch (small cheese-and-pastrami sandwich, chocolate brownie) followed by a pretty much free-flowing drinks trolley. The flight was full but the crew worked hard and did a very good job. This is a flight I would recommend. Except, don't fall for the last minute offer for an upgrade to business for £100+ in each direction, as I did. (I flew economy out and business back, while my brother flew business, then economy.) The business seats are identical to economy, with no seats blocked, so you are squished in four abreast. The meals are almost identical, with minor tweaks such as a yoghurt for your £100. The only real plus is Champagne. But on my flight, there was none because of ""supply issues"". The cabin attendant (I think his name was Tom) must be one of the best in the business. I didn't eat, so I paid £100 for nothing. Oh well. So great flight but stick with economy."
23rd June 2023,United States,"""Communication is terrible""",1,"✅ Trip Verified | Absolutely horrible airline. Communication is terrible. Last minute delays, cancellations, seat changes with no communication. App and website user experience is years behind other airlines. Seats are cramped and uncomfortable. Overpriced. Would not fly again."
22nd June 2023,United States,"""delays and cancellations""",1,"✅ Trip Verified |  Having experienced delays and cancellations departing from USA to Europe and now a 3.5 hour estimated delay at LHR heading back to USA, I would warn travelers that BA has become unreliable and is now on my “Do Not Fly” list until they get better organized. "
20th June 2023,United Kingdom,"""Economy class seating was truly dreadful""",7,"✅ Trip Verified | Travelled to Heathrow to Kalamata and return journey 11 days later. World Traveller (aka Economy) Class. Both flights departed on time. Return flight landed early - BUT - we then had a 1 1/4 hour wait for the baggage to be offloaded which rather ruined the journey home as we then caught a motorway closure. Flights OK - FA's (particularly on return flight) pleasant enough. But, as usual, Economy class seating was truly dreadful - no legroom at all. No better in Club class either - only the middle seat left free. Marked down because of this. Can only recommend if you are not tall."
20th June 2023,United Kingdom,"""flight failed at every level""",1,Not Verified |  This flight failed at every level. We were delayed and arrived at our destination late so that our prepaid car transfer phoned to advise us that he could only wait another 10 minutes for us but this was a BA holiday. We pre ordered food for our flight and this was never loaded onto our flight and to finally compound British Airways complete and utter uselessness our luggage was still in Heathrow. As there is no flight tomorrow the earliest this luggage could possible arrive is very late on Wednesday evening. Having only the clothes that you flew in and reading you can only claim for toiletries and underwear seems to be the antithesis of a happy holiday. I might have expected a complimentary scone in lieu of no food but no we were told that we could purchase from the trolley what they had available. I would like to make it clear that we are British airways bronze level holders which as we have been long retired shows how we have used this airline historically.
19th June 2023,United States,"""BA refuses to make it right""",1,"Not Verified |  Beware of British Airways and their marketing to make you believe that they are full of class and level above the rest. They won't treat you that way when you get bumped from a flight and it is their responsibility to compensate you for their mistakes. We recently had a trip home planned from MRS to SEA. A mechanical issue meant that we departed late from MRS to LHR where we needed to make a connecting flight. We landed with plenty of time to make it to our next gate, but a series of issues and choices by British Airways kept us from boarding our next plane. The crew did not let off passengers with connecting flights first nor did they hold the next flight for a mere 5-10 minutes for passengers to make connections on their airlines. Plus, we discovered that we had actually been bumped off our next flight before we even landed. We were pushed to Virgin Atlantic to figure out how to get us home. It extended our travel day by 8 hours! We were traveling with children as well. No offers of compensation or upgrades were made. And now BA is refusing to provide us any financial compensation. We paid for a trip home with only one connection and instead had two connections, multiple airlines to deal with, security through an extra airport with kids for a midnight flight we were never planning on. That is not what we paid for but BA refuses to make it right. So beware potential travelers!"
19th June 2023,United States,"""shame for such well known airline""",2,✅ Trip Verified |  I flew from Cairo to Heathrow on what they call euro club class which is a cramped coach seat with the middle empty seat. Horrible service. I get to Heathrow airport 40 minutes late so I had to run around looking for my connecting flight. Finally jumping through escalators and train to another building where is my gate. Given a seat that is different than what I paid extra for ?! It’s a shame for such well known airline.
16th June 2023,Romania,"""Total garbage""",1,"Not Verified | I flew with numerous airlines, but I gotta admit, British Airways is by far the worst airline ever when it comes to customer support. I waited 3 weeks for a ticket change. Call center workers are giving you false information just so they would make you hang up. They told me I was supposed to get an email from them with the flight changes, but never got. They don't have a live chat just like American Airlines do, they don't have a online form to submit your questions, they don t have a working international number. Total garbage."
13th June 2023,United States,"""arrived at the airport only 1 hour before""",3,"✅ Trip Verified |  We were traveling as a family (5 people). Because of an accident by the airport, we arrived at the airport only 1 hour before the flight. The kiosk was unable to read one of our passports and we had to go to check-in. The lady at the check-in checked the passport and gave us a boarding pass. Because we had no extra time, we headed straight to security and didn’t realize the lady gave us a duplicated boarding pass (not of the passport holder). We got stuck in security because of that, couldn’t figure out what was wrong. We only didn’t miss the flight because we ran through the airport with a 70 year old and a 9 year old included in the party. The staff at the gate was very cordial and helpful once we arrived there."
12th June 2023,Australia,"""so callous and uncaring""",1,✅ Trip Verified | Flight at 8.40am from DUB to LCY cancelled 1155pm night before. No text message. No phone. Waiting at bus stop and randomly checked email to see alternate flight option. Hang on? What’s this! It was dark at 5am. It was hard to see mobile phone screen. I’m still jet lagged. Only option was to LHR at 9.20am. Tried calling. No one there. So accepted it. But I didn’t see the day change! It was the next day! I didn’t want the flight (as was staying at Docklands hence choosing LCY but thought I better take it as it’s leaving an hour after the original flight. Nope. I better call to say hey sorry I screwed up. Your flight is not going to work for me. I don’t have any more accommodation in Dublin and I don’t want to waste one night in London. Called. The most surly customer service (can you even be called that when you treat people like this) answered. She kept calling me James (not my name). She was brutal. You accepted it. I can’t do anything. She basically made me feel like a moron because in a moment of confusion I accepted the first available flight from the stupid supercomputer. She kept telling me about the algorithm and this was the flight that was chosen. But if you had called us we could have put you onto a Aer Lingus flight! Why didn’t you call? You are at fault. Just so callous and uncaring. She wanted to charge me 600 pounds in new flights and change fees. I said nope and booked a flight today with Ryanair. Plus I need to find my way from Gatwick to Docklands. More money from me because of BA’s utter contempt for their passengers. I’ve been flying Qantas for 25 years and they can do some funky stuff. But never this level of cruelty because of one simple error. Never again. How do people accept such utter contempt and ineptitude? Welcome to the U.K.! Just wow.
11th June 2023,United Kingdom,"""uncomfy old planes""",1,✅ Trip Verified |  Terrible. I have traveled twice with them this year via business class and they have been significantly delayed or cancellations with connecting flights. The customer service or complete lack of it is appalling and has forced me to change credit cards as I no longer intend to use BA for any further flights. Terrible uncomfy old planes and miserable staff. 
11th June 2023,United States,"""never fly British Airway ever again""",1,✅ Trip Verified |  The customer service is ugly. Tried calling two weeks ago but still had problems with flight. All I get is someone in India. I thought i was flying Iberia once I looked close at ticket it was British Airways. Will never fly British Airway ever again.
10th June 2023,United Kingdom,"""Most uncomfortable flight""",3,"✅ Trip Verified |  Most uncomfortable flight I have ever experienced. It's a long time since I have flown long-haul, the cramped conditions were awful. The rows were so close together when the person in front reclined their seat my TV was so close I couldn't focus on it.  BA seem to want to make economy so uncomfortable to encourage customers to upgrade, this has not worked on me, I will avoid flying BA in future. My onward flight was with LATAM, same 787 aircraft but more room between rows, far more comfortable. On the return flight from Santiago the lights were turned down at 8pm, I feel the cabin crew do this to avoid providing a service, they just disappear behind the curtains."
8th June 2023,United States,"""I will never fly British Airways again""",1,"✅ Trip Verified |  I booked our first out of country trip to take my husband on a surprise trip to Monaco. I gave us over 3 hours for our connecting flight to and from home through Heathrow. Our flight left Seattle an hour late causing us to miss our connecting flight. We were rescheduled before we even landed. They booked us on a flight 7 hours later and offered no food tickets or any other type of reimbursement. Additionally we sat in their customer service line for an hour and a half to see if they could rebook us on an earlier flight, to watch them continually assist other customers that walked up outside of the queue (no earlier flights were available). When we arrived in Nice, France the airport was closed, including the rental car desk. We were not offered any assistance from the airline on a room or other accommodation for the night. We found a cab, which cost us 85 euros one one to get to our hotel. We thought there is no way something like this could happen on the way home….we were wrong. Our flight from Nice to Heathrow was 30 minutes late, with a 2.5 hour layover you would think we should still make our flight, unfortunately long security lines caused over 1.5 hr further delay. When arriving BA closed the doors and said they could not hold the plane any longer despite arriving 15mins before departure. After running through the Heathrow airport and going through security again. They sent us back to the customer service queue, where the first statement was we can’t get you out until tomorrow. After begging they found us a flight on another airline. At that time we were told our bags were transferred to our flight with Delta. We were given 8 pounds each for snacks at the airport for our now additional 5 hour delay. In total for our trip there and home we spent 13 hours at Heathrow airport which our original total layover of 6 hours, and we were offered 8 pound each. Unfortunately the drama continues. The two bags that they said made the Delta flight, shockingly did not. We were told that we had the file the claim with Delta, since the last part of our flight was with them. We have now been home for 5 days and each airline is pointing the finger at the other. As I said to both of them today. I don’t care who’ has my bags figure it out and send me my luggage I don't want your $500 reimbursement per bag, as that doesn’t come close to the memories and stuff that I have in there. I will never fly British Airways again, and Delta’s baggage people are not doing great either."
7th June 2023,United Kingdom,"""All in all very disappointing""",4,✅ Trip Verified | My husband and I booked seats within our premium economy booking. On both outward journey BA015 on 12 February and return on 11 March we were last OR almost last to be served food. Each time they had run out of our choices. On one occasion I did not eat as only available option was curry which disagrees with me. On all flights there appeared to be an undue focus on curry/spicy food. All in all very disappointing and left us with a very poor opinion of British Airways.
6th June 2023,United States,"""customer service was horrendous""",1,"Not Verified |  May 3, flew from Seattle to Heathrow then to Edinburgh. BA lost my golf bag which caused me to purchase golf shoes, club rentals, tees, balls. I had tee times at two courses in St. Andrews that took months to make. The promised my bag returned in 24 hours and they would reimburse occurred expenses. I contacted BA and they state they would only reimburse toiletries. Then the return flight home was randomly canceled by BA without notifying me or without notice two weeks before the scheduled flight. I contacted the corporate travel team, they informed me BA, canceled my return reservation. They rebooked me on the same flight. BA customer service was horrendous and make false promises. I will never use this airlines again. Beware of British Airways. They also randomly canceled my girlfriend and her fathers flight and they are both gold members."
6th June 2023,Greece,"""All flights without exception were delayed""",2,"✅ Trip Verified | I went through three flights to reach my destination. All of my BA flights without exception were delayed, both on my way to my destination and back from my destination which is understandable to an extent. What's not understandable is that they weren't prepared for one of the flights and delayed by almost an hour so I ended up missing a flight and for that they rebooked me 24h ahead providing only accommodation which they messed up as well and after 30 hours of traveling I had to wait and hope that the hotel would find an extra room since BA didn't communicate properly with them. I gave BA a chance to correct their mistake by contacting them after the flights but all they did was answer once with a lot of serious complaints that were involved with their flights and all they did was tell me to contact their partners that I had the last flight with, which went smoothly and they had nothing to do with the previously addressed complaints. I contacted them and gave them over a week asking why they didn't address any of my complaints that their partner could have nothing to do with and they just ghosted me. 2/10 for the kind personnel that's holding this airline together though."
6th June 2023,United Kingdom,"""An excellent flight""",9,"✅ Trip Verified | An excellent flight in Club World on British Airways. The welcome aboard was warm and that continued throughout the flight. The crew were attentive, friendly and very professional. On board food for dinner and breakfast was good and there was a well chosen selection of wines. In flight entertainment offered a great selection of films and audio. The seat/flat bed was very comfortable - British Airways have done an excellent job in the design and comfort of the suites on board the A350. I liked the sleek, minimalist design. This flight showed that BA can be among the world’s best airlines."
5th June 2023,Canada,"""luggage was still in London"" ",3,"✅ Trip Verified | The flight schedule was delayed for one hour. After boarding the plane we were delayed at least another 30 minutes. When we arrived in London, we were delayed again for at least another 30 minutes to find a gate. We were left with 45 minutes only to catch our connecting flight to Barcelona, we needed to run and take the train to different terminal to catch our next connecting flight. When we arrived at Barcelona airport, we discovered that our check in luggage was still in London. Very painful trip (disrupted our vacation). Not flying with BA anymore if I can find alternative Airlines. "
3rd June 2023,United States,"""worst experience in all my years of travel""",1,"✅ Trip Verified | The worst experience in all my years of travel. My first flight with my two kids from Boston to London was delayed by 2 hours, resulting in me missing my connecting flight. Despite having a layover of approximately 2.5 hours, I ended up waiting until 4.30 pm to board my flight to Cairo. Unfortunately, even that flight was delayed. I would strongly advise avoiding this particular airline, even if it means paying a bit more for a different option."
3rd June 2023,Australia,"""The worst experience""",1,"✅ Trip Verified |  The worst experience in all my years of travel. Bag was destroyed, flight delayed 3 hours and couldn't get water on board. Then when attempting to claim on their website the entire site failed on a dropdown menu that wouldn't work. You can't contact them. Plane was filthy and someone else's belongings and left over food was still in our seat."
2nd June 2023,United States,"""haven’t received any reimbursement""",2,✅ Trip Verified |  Terrible delays. Had to rebook our domestic travel for 5 passengers and haven’t received any reimbursement on the same. Lost all my luggage; received luggage after 4 days. Had to purchase new clothes for the family for a wedding. No customer service rep picks up the phone.
1st June 2023,Cyprus,"""the crew has helped me""",10,✅ Trip Verified |  A serious medical problem appeared while I was onboard. I informed the crew and they helped me out. Unfortunately I was in transit but travelling further became too difficult because of how unwell I became. Also I could not find my way back home in my condition. Thankfully the crew has helped me in every step of the journey until I returned back home. It was a stressful experience but the crew of British Airways made it way more tolerable.
